zona_id,city,zone_type,lat,lng,plataforma,restaurante,delivery_fee,eta_min,eta_max,product_price,product_available,product_name,descuentos,timestamp,error
cdmx_polanco,CDMX,wealthy,19.4326,-99.195,rappi,15556 Burger King Antara (ALS),20.0,39,59.0,,True,Coca-Cola 500ml @ 15556 Burger King Antara (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:12:43.265998,
cdmx_roma,CDMX,wealthy,19.4195,-99.1575,rappi,16262 Burger King Reforma (ALS),20.0,14,34.0,,True,Coca-Cola 500ml @ 16262 Burger King Reforma (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:12:46.915444,
cdmx_condesa,CDMX,wealthy,19.4127,-99.1721,rappi,7963 Burger King Génova (ALS),20.0,14,34.0,,True,Coca-Cola 500ml @ 7963 Burger King Génova (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:12:50.576053,
cdmx_coyoacan,CDMX,middle,19.3467,-99.1617,rappi,7364 Burger King Copilco (ALS),9.9,19,39.0,,True,Coca-Cola 500ml @ 7364 Burger King Copilco (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:12:54.635054,
cdmx_iztapalapa,CDMX,middle,19.3557,-99.0629,rappi,15054 Burger King Ermita (ALS),9.9,19,39.0,,True,Coca-Cola 500ml @ 15054 Burger King Ermita (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:12:57.821034,
cdmx_ecatepec,CDMX,peripheral,19.6016,-99.06,rappi,Burger King Ecatepec (Mb)  ,9.9,20,35.0,,True,Coca-Cola 500ml @ Burger King Ecatepec (Mb)   (fast_food),Envío Gratis: Aplican TyC; Hasta 49% Off,2026-04-04T21:13:01.689065,
cdmx_chalco,CDMX,peripheral,19.262,-98.899,rappi,Domino's Pizza - Soriana Chalco 12537 (FQZ),30.0,40,,,True,Coca-Cola 500ml @ Domino's Pizza - Soriana Chalco 12537 (FQZ) (tienda_conveniencia),Hasta 29% Off,2026-04-04T21:13:04.723255,
gdl_chapultepec,Guadalajara,wealthy,20.6736,-103.382,rappi,7097 Burger King Minerva (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 7097 Burger King Minerva (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:07.673067,
gdl_providencia,Guadalajara,wealthy,20.6891,-103.3849,rappi,7097 Burger King Minerva (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 7097 Burger King Minerva (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:10.923419,
gdl_centro,Guadalajara,middle,20.6767,-103.3475,rappi,11754 Burger King Centro (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 11754 Burger King Centro (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:14.102671,
gdl_zapopan,Guadalajara,middle,20.7214,-103.3916,rappi,51753 Burger King Ávila Camacho NL (ALS),30.0,12,32.0,,True,Coca-Cola 500ml @ 51753 Burger King Ávila Camacho NL (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:17.377473,
gdl_tlaquepaque,Guadalajara,middle,20.6418,-103.3117,rappi,18456 Burger King Forum Tlaquepaque (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 18456 Burger King Forum Tlaquepaque (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:20.523813,
gdl_tonala,Guadalajara,peripheral,20.6238,-103.2341,rappi,11225 Burger King Pza Lomas (ALS),32.0,24,44.0,,True,Coca-Cola 500ml @ 11225 Burger King Pza Lomas (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:23.831786,
gdl_periferico,Guadalajara,peripheral,20.6102,-103.4089,rappi,7665 Burger King Plaza del Sol NL (ALS),40.0,19,39.0,,True,Coca-Cola 500ml @ 7665 Burger King Plaza del Sol NL (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-04T21:13:26.740149,
mty_san_pedro,Monterrey,wealthy,25.6577,-100.3639,rappi,Carl's Jr. Valle Alianza GG,20.0,12,32.0,,True,Coca-Cola 500ml @ Carl's Jr. Valle Alianza GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-04T21:13:29.628019,
mty_centro,Monterrey,wealthy,25.6714,-100.309,rappi,Carl's Jr. Morelos Zona Rosa GG,10.0,12,32.0,,True,Coca-Cola 500ml @ Carl's Jr. Morelos Zona Rosa GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-04T21:13:33.291148,
mty_obispado,Monterrey,middle,25.6791,-100.3558,rappi,Carl's Jr. Galerías Monterrey GG,9.9,12,32.0,,True,Coca-Cola 500ml @ Carl's Jr. Galerías Monterrey GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-04T21:13:36.508435,
