zona_id,city,zone_type,lat,lng,plataforma,restaurante,delivery_fee,eta_min,eta_max,coca_price,coca_available,coca_name,agua_price,agua_available,agua_name,descuentos,timestamp,error
cdmx_polanco,CDMX,wealthy,19.4326,-99.195,rappi,Pizza Hut - Polanco,9.9,13,28.0,,True,Coca-Cola 500ml @ Pizza Hut - Polanco (fast_food),,True,Agua 600ml @ Pizza Hut - Polanco (fast_food),Envío Gratis: Aplican TyC; 50% OFF,2026-04-05T11:08:23.387568,
cdmx_roma,CDMX,wealthy,19.4195,-99.1575,rappi,Pizza Hut - Hamburgo,20.0,20,35.0,,True,Coca-Cola 500ml @ Pizza Hut - Hamburgo (fast_food),,True,Agua 600ml @ Pizza Hut - Hamburgo (fast_food),Envío Gratis: Aplican TyC; 50% OFF,2026-04-05T11:08:27.310773,
cdmx_condesa,CDMX,wealthy,19.4127,-99.1721,rappi,Pizza Hut - Hamburgo,20.0,20,35.0,,True,Coca-Cola 500ml @ Pizza Hut - Hamburgo (fast_food),,True,Agua 600ml @ Pizza Hut - Hamburgo (fast_food),Envío Gratis: Aplican TyC; 50% OFF,2026-04-05T11:08:30.843042,
cdmx_coyoacan,CDMX,middle,19.3467,-99.1617,rappi,7364 Burger King Copilco (ALS),9.9,29,49.0,,True,Coca-Cola 500ml @ 7364 Burger King Copilco (ALS) (fast_food),,True,Agua 600ml @ 7364 Burger King Copilco (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:34.482747,
cdmx_iztapalapa,CDMX,middle,19.3557,-99.0629,rappi,22783 Burger King Plaza Oriente (ALS),30.0,40,55.0,,True,Coca-Cola 500ml @ 22783 Burger King Plaza Oriente (ALS) (fast_food),,True,Agua 600ml @ 22783 Burger King Plaza Oriente (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:37.716462,
cdmx_ecatepec,CDMX,peripheral,19.6016,-99.06,rappi,Burger King Ecatepec (Mb)  ,9.9,15,30.0,,True,Coca-Cola 500ml @ Burger King Ecatepec (Mb)   (fast_food),,True,Agua 600ml @ Burger King Ecatepec (Mb)   (fast_food),Envío Gratis: Aplican TyC; Hasta 49% Off,2026-04-05T11:08:40.609577,
cdmx_chalco,CDMX,peripheral,19.262,-98.899,rappi,Domino's Pizza - Soriana Chalco 12537 (FQZ),30.0,50,,,True,Coca-Cola 500ml @ Domino's Pizza - Soriana Chalco 12537 (FQZ) (tienda_conveniencia),,True,Agua 600ml @ Domino's Pizza - Soriana Chalco 12537 (FQZ) (tienda_conveniencia),,2026-04-05T11:08:43.490022,
gdl_chapultepec,Guadalajara,wealthy,20.6736,-103.382,rappi,7097 Burger King Minerva (ALS),32.0,12,32.0,,True,Coca-Cola 500ml @ 7097 Burger King Minerva (ALS) (fast_food),,True,Agua 600ml @ 7097 Burger King Minerva (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:46.140425,
gdl_providencia,Guadalajara,wealthy,20.6891,-103.3849,rappi,7097 Burger King Minerva (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 7097 Burger King Minerva (ALS) (fast_food),,True,Agua 600ml @ 7097 Burger King Minerva (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:49.610154,
gdl_centro,Guadalajara,middle,20.6767,-103.3475,rappi,11754 Burger King Centro (ALS),9.9,12,32.0,,True,Coca-Cola 500ml @ 11754 Burger King Centro (ALS) (fast_food),,True,Agua 600ml @ 11754 Burger King Centro (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:53.252099,
gdl_zapopan,Guadalajara,middle,20.7214,-103.3916,rappi,15750 Burger King Atemajac (ALS),20.0,24,44.0,,True,Coca-Cola 500ml @ 15750 Burger King Atemajac (ALS) (fast_food),,True,Agua 600ml @ 15750 Burger King Atemajac (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:56.756029,
gdl_tlaquepaque,Guadalajara,middle,20.6418,-103.3117,rappi,15192 Burger King Rio Nilo (ALS),9.9,14,34.0,,True,Coca-Cola 500ml @ 15192 Burger King Rio Nilo (ALS) (fast_food),,True,Agua 600ml @ 15192 Burger King Rio Nilo (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:08:59.925888,
gdl_tonala,Guadalajara,peripheral,20.6238,-103.2341,rappi,11225 Burger King Pza Lomas (ALS),40.0,24,44.0,,True,Coca-Cola 500ml @ 11225 Burger King Pza Lomas (ALS) (fast_food),,True,Agua 600ml @ 11225 Burger King Pza Lomas (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:09:02.912327,
gdl_periferico,Guadalajara,peripheral,20.6102,-103.4089,rappi,7665 Burger King Plaza del Sol NL (ALS),40.0,19,39.0,,True,Coca-Cola 500ml @ 7665 Burger King Plaza del Sol NL (ALS) (fast_food),,True,Agua 600ml @ 7665 Burger King Plaza del Sol NL (ALS) (fast_food),Envío Gratis: Aplican TyC; Hasta 47% Off,2026-04-05T11:09:05.588720,
mty_san_pedro,Monterrey,wealthy,25.6577,-100.3639,rappi,Carl's Jr. Gonzalitos GG,50.0,40,70.0,,True,Coca-Cola 500ml @ Carl's Jr. Gonzalitos GG (fast_food),,True,Agua 600ml @ Carl's Jr. Gonzalitos GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-05T11:09:08.477306,
mty_centro,Monterrey,wealthy,25.6714,-100.309,rappi,Carl's Jr. Morelos Zona Rosa GG,9.9,28,58.0,,True,Coca-Cola 500ml @ Carl's Jr. Morelos Zona Rosa GG (fast_food),,True,Agua 600ml @ Carl's Jr. Morelos Zona Rosa GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-05T11:09:11.336112,
mty_obispado,Monterrey,middle,25.6791,-100.3558,rappi,Carl's Jr. Galerías Monterrey GG,9.9,30,60.0,,True,Coca-Cola 500ml @ Carl's Jr. Galerías Monterrey GG (fast_food),,True,Agua 600ml @ Carl's Jr. Galerías Monterrey GG (fast_food),Envío Gratis: Aplican TyC; Hasta 33% Off,2026-04-05T11:09:14.464063,
mty_cumbres,Monterrey,middle,25.7484,-100.3697,rappi,Subway - Walmart Lincoln,20.0,35,65.0,,True,Coca-Cola 500ml @ Subway - Walmart Lincoln (tienda_conveniencia),,True,Agua 600ml @ Subway - Walmart Lincoln (tienda_conveniencia),Envío Gratis: Aplican TyC; Hasta 40% Off,2026-04-05T11:09:17.590623,
mty_apodaca,Monterrey,peripheral,25.7797,-100.1879,rappi,La Tostada - Soriana Santa Rosa,50.0,24,44.0,,True,Coca-Cola 500ml @ La Tostada - Soriana Santa Rosa (tienda_conveniencia),,True,Agua 600ml @ La Tostada - Soriana Santa Rosa (tienda_conveniencia),Envío Gratis: Aplican TyC; Hasta 40% Off,2026-04-05T11:09:20.394282,
mty_juarez,Monterrey,peripheral,25.65,-100.11,rappi,I Like Pizza Walmart Juarez,9.9,12,32.0,,True,Coca-Cola 500ml @ I Like Pizza Walmart Juarez (tienda_conveniencia),,True,Agua 600ml @ I Like Pizza Walmart Juarez (tienda_conveniencia),Envío Gratis: Aplican TyC; Hasta 40% Off,2026-04-05T11:09:23.925298,
