zona_id,city,zone_type,lat,lng,plataforma,restaurante,delivery_fee,eta_min,eta_max,product_price,product_available,product_name,descuentos,timestamp,error
cdmx_polanco,CDMX,wealthy,19.4326,-99.195,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:13:51.571063,
cdmx_roma,CDMX,wealthy,19.4195,-99.1575,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:13:56.858502,
cdmx_condesa,CDMX,wealthy,19.4127,-99.1721,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:03.831522,
cdmx_coyoacan,CDMX,middle,19.3467,-99.1617,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:08.579339,
cdmx_iztapalapa,CDMX,middle,19.3557,-99.0629,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:13.381457,
cdmx_ecatepec,CDMX,peripheral,19.6016,-99.06,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:18.359236,
cdmx_chalco,CDMX,peripheral,19.262,-98.899,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:23.779575,
gdl_chapultepec,Guadalajara,wealthy,20.6736,-103.382,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:28.577815,
gdl_providencia,Guadalajara,wealthy,20.6891,-103.3849,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:34.226839,
gdl_centro,Guadalajara,middle,20.6767,-103.3475,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:39.246309,
gdl_zapopan,Guadalajara,middle,20.7214,-103.3916,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:44.210892,
gdl_tlaquepaque,Guadalajara,middle,20.6418,-103.3117,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:49.356631,
gdl_tonala,Guadalajara,peripheral,20.6238,-103.2341,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:54.643895,
gdl_periferico,Guadalajara,peripheral,20.6102,-103.4089,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:14:59.828664,
mty_san_pedro,Monterrey,wealthy,25.6577,-100.3639,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:05.506923,
mty_centro,Monterrey,wealthy,25.6714,-100.309,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:10.538492,
mty_obispado,Monterrey,middle,25.6791,-100.3558,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:15.697843,
mty_cumbres,Monterrey,middle,25.7484,-100.3697,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:20.897351,
mty_apodaca,Monterrey,peripheral,25.7797,-100.1879,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:25.809900,
mty_juarez,Monterrey,peripheral,25.65,-100.11,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:30.738764,
mty_escobedo,Monterrey,peripheral,25.7964,-100.3167,uber_eats,OXXO 🛒(Nezahualpilli),,12,28,29.0,True,Coca-Cola · Refresco sin azúcar (500 ml) @ OXXO 🛒(Nezahualpilli) (tienda_conveniencia),2 Ofertas disponibles,2026-04-04T21:15:36.615273,
